Category;Description;Nutrient Data Bank Number;Data.Alpha Carotene;Data.Ash;Data.Beta Carotene;Data.Beta Cryptoxanthin;Data.Carbohydrate;Data.Cholesterol;Data.Choline;Data.Fiber;Data.Kilocalories;Data.Lutein and Zeaxanthin;Data.Lycopene;Data.Manganese;Data.Niacin;Data.Pantothenic Acid;Data.Protein;Data.Refuse Percentage;Data.Retinol;Data.Riboflavin;Data.Selenium;Data.Sugar Total;Data.Thiamin;Data.Water;Data.Fat.Monosaturated Fat;Data.Fat.Polysaturated Fat;Data.Fat.Saturated Fat;Data.Fat.Total Lipid;Data.Household Weights.1st Household Weight;Data.Household Weights.1st Household Weight Description;Data.Household Weights.2nd Household Weight;Data.Household Weights.2nd Household Weight Description;Data.Major Minerals.Calcium;Data.Major Minerals.Copper;Data.Major Minerals.Iron;Data.Major Minerals.Magnesium;Data.Major Minerals.Phosphorus;Data.Major Minerals.Potassium;Data.Major Minerals.Sodium;Data.Major Minerals.Zinc;Data.Vitamins.Vitamin A - IU;Data.Vitamins.Vitamin A - RAE;Data.Vitamins.Vitamin B12;Data.Vitamins.Vitamin B6;Data.Vitamins.Vitamin C;Data.Vitamins.Vitamin E;Data.Vitamins.Vitamin K;;;;;;;;
BABYFOOD;BABYFOOD;DINNER;VEG&NOODLES&TURKEY;JR;3081;0;0.4;0;0;7.6;0;0;1.100.000.024;52;0;0;0.0;0.299;0.217;1.8;0;0;0.04;2.8;0.0;0.024;88.7;0.0;0.0;0.0;1.5;28.35;1 oz;170;1 jar;32;0.026;0.26;9;29;73;17;0.3;994;50;0.12;0.018;;;;;;;;
BABYFOOD;BABYFOOD;DINNER;TURKEY&RICE;STR;3082;368;0.33;789;0;7.94;5;7;0.899999976;52;38;0;0.13;0.648;0.177;2.27;0;0;0.04;3.0;1.659.999.967;0.022;88.22;0.446;0.308;0.338;1.24;16.0;1 tbsp;28;1 oz;18;0.03;0.29;8;34;91;20;0.4;1622;81;0.02;0.052;;;;;;;;
BABYFOOD;BABYFOOD;DINNER;TURKEY&RICE;JR;3083;410;0.5;927;0;9.57;4;8;1.0;56;134;1127;0.12;0.692;0.2;2.37;0;0;0.044;3.3;1.25;0.033;86.64;0.304;0.233;0.239;0.92;16.0;1 tbsp;28;1 oz;24;0.03;0.41;9;37;86;80;0.47;1886;94;0.02;0.052;;;;;;;;
BABYFOOD;BABYFOOD;DINNER;VEG&TURKEY;STR;3084;998;0.35;2139;0;7.62;4;7;1.5;48;76;0;0.14;0.466;0.224;2.32;0;0;0.024;1.9;1.539.999.962;0.02;88.82;0.294;0.241;0.236;0.9;256.0;1 cup;16;1 tbsp;27;0.09;0.37;13;44;102;20;0.7;4396;220;0.02;0.044;;;;;;;;
BABYFOOD;BABYFOOD;DINNER;VEG&TURKEY;JR;3085;976;0.49;2107;0;7.55;4;9;0.899999976;53;174;0;0.06;0.539;0.162;1.72;0;0;0.032;1.9;1.360.000.014;0.022;88.5;0.687;0.391;0.485;1.74;256.0;1 cup;16;1 tbsp;16;0.02;0.36;9;32;98;89;0.3;4325;216;0.01;0.052;;;;;;;;
BABYFOOD;BABYFOOD;DINNER;VEG&TURKEY;TODD;3086;0;1.4;0;0;8.0;0;0;0.0;80;0;0;0.0;0.586;0.0;4.8;0;0;0.09;1.9;0.0;0.02;82.3;0.0;0.0;0.0;3.4;28.35;1 oz;170;1 jar;46;0.042;0.6;16;57;166;334;0.32;2099;105;0.44;0.06;;;;;;;;
BABYFOOD;BABYFOOD;DINNER;MACARONI&CHS;STR;3089;0;0.55;5;0;8.95;7;3;0.699999988;67;1;0;0.09;0.516;0.176;3.14;0;23;0.076;3.8;1.269.999.981;0.038;85.25;0.581;0.103;1.291;2.11;28.35;1 oz;113;1 jar;66;0.02;0.21;8;86;67;87;0.4;86;24;0.13;0.036;;;;;;;;
BABYFOOD;BABYFOOD;DINNER;MACARONI&CHS;JR;3090;0;0.7;5;0;8.2;6;3;0.300000012;61;1;0;0.0;0.545;0.0;2.6;0;29;0.064;3.8;1.320.000.052;0.056;86.5;0.534;0.132;1.175;2.0;28.35;1 oz;170;1 jar;51;0.021;0.3;7;59;44;76;0.32;106;30;0.03;0.016;;;;;;;;
BABYFOOD;BABYFOOD;VEG;GRN BNS;STR;3091;15;0.49;197;17;6.29;0;23;2.200.000.048;27;526;0;0.265;0.361;0.041;1.2;0;0;0.079;0.1;1.879.999.995;0.026;91.85;0.0;0.116;0.039;0.17;240.0;1 cup;15;1 tbsp;39;0.03;0.67;20;41;146;5;0.22;355;18;0.0;0.038;;;;;;;;
BABYFOOD;BABYFOOD;VEG;GRN BNS;JR;3092;0;0.4;292;0;5.7;0;23;1.899.999.976;24;493;0;0.0;0.321;0.151;1.2;0;0;0.102;0.3;1.080.000.043;0.021;92.5;0.004;0.052;0.023;0.1;240.0;1 cup;15;1 tbsp;65;0.049;1.08;22;19;128;2;0.19;433;24;0.0;0.035;;;;;;;;
